strain_name,breeder,description,current_price_gbp,original_price_gbp,discount_percent,pack_options,product_url,image_url,overview,growth_and_harvest,experience,seed_type,flowering_period_type,indica_sativa,type_ratio,strain_type_summary,environment,strength,medical_strains,smell_taste,effect,climate,flavor,thc,cbd,yield_indoor,yield_outdoor,height_indoor,height_outdoor,indoor_height_detail,indoor_flowering_time,outdoor_harvest_time,flowering_time,harvest_month,genetic_background,stock_availability,sale_item,most_popular_seeds
White Fire OG,Growers Choice,High-THC strain with full trichome coverage. Smooth smoke and uplifting high. Popular among collectors.,16.0,,,4 Feminised Seeds (GBP 16.00) | 7 Feminised Seeds (GBP 25.00) | 14 Feminised Seeds (GBP 40.00) | 70 Feminised Seeds (GBP 190.00) | 140 Feminised Seeds (GBP 360.00),https://www.seed-city.com/growers-choice/white-fire-og,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FWhite_Fire_OG_5cdee02f94d4a_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Super Strength,"Relaxing, Uplifting",,,,,24-28%,"0,3-0,6%",,,,,Tall (140cm plus),Medium (56 to 90 days),The End of September,,,,In Stock,,
Gorilla Lemon Fire,Cream of the Crop,"High-yielding strain with intense lemon flavor, strong THC content, and stimulating effects. Indica dominant with fruity, piney taste.",17.2,,,3 Feminised Seeds (GBP 17.20) | 5 Feminised Seeds (GBP 25.60) | 10 Feminised Seeds (GBP 37.20) | 50 Feminised Seeds (GBP 176.70) | 100 Feminised Seeds (GBP 334.80),https://www.seed-city.com/cream-of-the-crop/gorilla-lemon-fire,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FCash_Crop_XL_Aut_5ced8f2dee8fb_120x140.jpg&newxsize=120&newysize=140&fileout=,"This exquisite creation, known as GLF, comes from crossing our favourite phenotype of Sticky Zkittlez Glue with a select Lemon Pie Male, chosen for its high Limonene content. GLF stands out as a beautiful, easy-to-grow, high-yielding, and robust strain that merges the outstanding traits of its parents. It brings together the high THC levels inherent from GG#4 in the Sticky Zkittlez Glue, with an intense lemon flavor and an enhanced physical structure, making it our most beloved strain to date.",,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Normal,Cerebral,"Citrus, Incense, Lemon, Piney",Strong / Mental / Stimulating,,,,,,,,,,Medium (56 to 90 days),,,,,In Stock,,
Sherblato,Flavour Chasers,"Indica-dominant strain with heavy yields, potent effects, and flavorful taste. High THC, sedating effects, appetite stimulation. Tall plants, bountiful yield.",83.4,,,5 Feminised Seeds (GBP 83.40) | 25 Feminised Seeds (GBP 396.15) | 50 Feminised Seeds (GBP 750.60),https://www.seed-city.com/flavour-chasers/sherblato,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FSherblato_5cf022ce228bb_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor, Greenhouse",Super Strength,"Body Stone, Depression, General Pain, Relaxing, Stress Relief","Berry, Citrus, Skunky, Sweet",,,,,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,7-9 WEEKS,,,In Stock,,
SALE - Wedding Cake - Seed Stockers,Seed Stockers,"High THC levels, fruity aroma, XL harvests, easy to grow. Indoor/outdoor hybrid with candy fruity flavor and happy chill effect. Flower period of 9 weeks.",74.02,123.36,40.0,16 X 1 Single Feminised Seed (GBP 74.02),https://www.seed-city.com/seed-stockers/sale-wedding-cake-seed-stockers,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FWedding_Cake_5e29ec3735d91_120x140.png&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,,,"Indoor, Outdoor",Super Strength,"Happy, Relaxing","Fruity, Sweet, Tangy",Happy Chill,,Candy Fruity,Medium (14 -22%),,,,,,,Medium (56 to 90 days),,,,,In Stock,Cannabis Seeds Currently on Sale,
Cosmic Bomb Auto,Bomb Seeds,"High THC levels, uplifting high, fruity aroma. Medium height, high yield. Indoor/outdoor. Flowering 65+ days. May-Oct harvest.",29.8,,,5 Feminised Seeds (GBP 29.80) | 10 Feminised Seeds (GBP 55.80) | 50 Feminised Seeds (GBP 265.05) | 100 Feminised Seeds (GBP 502.20),https://www.seed-city.com/bomb-seeds/cosmic-bomb-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FCosmic_Bomb_Auto_5d66c2b3a3a99_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,Autoflowering,Indica Dominant,Ruderalis/Indica/Sativa,,"Indoor, Outdoor",Normal,"Cerebral, Psychedelic, Uplifting","Earthy, Fruity, Skunky, Sweet",,,,High (16-20%),,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,,
Santa Marta Haze,Seed Stockers,"Potent sativa strain with 15 week bloom time, high THC levels, massive yields, fruity spicy flavor, and active effects.",9.28,,,1 Single Feminised Seed (GBP 9.28) | 3 Feminised Seeds (GBP 23.20) | 5 Feminised Seeds (GBP 34.80) | 25 Feminised Seeds (GBP 139.20) | 125 Feminised Seeds (GBP 661.20) | 250 Feminised Seeds (GBP 252.80),https://www.seed-city.com/seed-stockers/santa-marta-haze,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FSanta_Marta_Haze_5d6ea1cb74aac_120x140.png&newxsize=120&newysize=140&fileout=,"Santa Marta Haze is acclaimed as the best genuine Haze variety by Seed Stockers, reportedly necessitating a 15-week bloom time. It emerges from the crossbreeding of Amnesia Haze and Santa Marta (Colombian jungle Haze), boasting a rich THC content and substantial yields. Characterized by its sativa dominance, this strain grows tall, stretching with thin leaves and resin-coated buds. Ideal for climates with long tropical summers, it requires an extensive bloom period but promises a potent harvest with a uniquely powerful high and psychedelic effects lasting for hours.",,,Feminized,12/12 Photoperiod,Sativa Dominant,,,"Indoor, Outdoor",Super Strength,"Cerebral, Psychedelic",,,Ideal for climates with long tropical summers,,,,,,,,Tall (140cm plus),Long (91 days plus),,,,,In Stock,,
Gelato Zkittlez,Purple Caper Seeds,"Visually stunning strain with creamy, fruity flavors. 8-week flowering period indoors, unique Rainbow Sherbert Exhale.",72.21,,,5 Regular Seeds (GBP 72.21) | 25 Regular Seeds (GBP 343.00) | 50 Regular Seeds (GBP 649.89),https://www.seed-city.com/purple-caper-seeds/gelato-zkittlez,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FGelato_Zkittlez_5eea478aa1855_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Regular,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Normal,,,,,,,,,,,,,Medium (56 to 90 days),,,,,In Stock,,
The Black Apple Hitchcock,TH Seeds,Limited edition collaboration between T.H.Seeds and Massive Creations. Cold room growing enhances Indica traits. 10 regular seeds available.,15.98,,,1 Single Feminised Seed (GBP 15.98) | 6 Feminised Seeds (GBP 79.90) | 30 Feminised Seeds (GBP 379.53) | 60 Feminised Seeds (GBP 719.10),https://www.seed-city.com/th-seeds/the-black-apple-hitchcock,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FThe_Black_Apple__5da5ead476c01_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,,,"Indoor, Outdoor",Normal,,,,,,,,,,,,,"Short (up to 55 days), Medium (56 to 90 days)",,50 - 60 days,,,In Stock,,
Do Z Dos,Pheno Finder Seeds,Bushy plants with sweet zkittlez taste and sour dosidos undertones. Colors range from lime green to deep purple. 8-9 week flowering time.,39.9,,,5 Feminised Seeds (GBP 39.90) | 25 Feminised Seeds (GBP 189.53) | 50 Feminised Seeds (GBP 359.10),https://www.seed-city.com/pheno-finder-seeds/do-z-dos,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FDo_Z_Dos_5db0901096420_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,,,,"Indoor, Outdoor",Normal,,Sweet,,,,,,,,,,,Medium (56 to 90 days),,8-9 Weeks,,,In Stock,,Most Popular Cannabis Seeds
Tropical Cookies,Growers Choice,"Potent, energizing strain with citrusy, sweet flavor. Developed by Grower's Choice for high-quality cannabis seeds.",16.0,,,4 Feminised Seeds (GBP 16.00) | 7 Feminised Seeds (GBP 25.00) | 14 Feminised Seeds (GBP 40.00) | 70 Feminised Seeds (GBP 223.44) | 140 Feminised Seeds (GBP 423.36),https://www.seed-city.com/growers-choice/tropical-cookies,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FTropical_Cookies_5db1e099dc9aa_120x140.jpg&newxsize=120&newysize=140&fileout=,"Tropical Cookies is a hybrid strain bred from Girl Scout Cookies and Tangie, known for its energizing and euphoric effects. It combines citrusy, sweet flavors with a visually appealing mix of purple, green, and orange in the buds. Grower's Choice, a brand rooted in expert cannabis knowledge, produces these quality seeds. They focus on innovative cannabis seed development with an emphasis on quality and affordability, working with experienced horticulturalists.",,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Super Strength,,"Grapefruit, Sweet",,,,24-26%,Low,425 - 500 gr/m²,425 - 475 gr/plant,85 - 105 cm,140-180 cm,Medium (81cm - 140cm),Medium (56 to 90 days),Beginning of October,8 - 9 weeks,,,In Stock,,
Baklava,The Plug Seedbank,Breeders love Wedding Cake for its strong structure and trichome coverage. Crossed with Gelato for unique flavors and colors. High THC levels and colorful buds.,59.9,,,6 Feminised Seeds (GBP 59.90) | 30 Feminised Seeds (GBP 284.53) | 60 Feminised Seeds (GBP 539.10),https://www.seed-city.com/the-plug-seedbank/baklava,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FBaklava_5db836a3585c8_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,,,,"Indoor, Outdoor",Normal,,,,,,,,,,,,,Medium (56 to 90 days),,8-9 Weeks,,,In Stock,,
Cookies and Cream,Seed Stockers,Cookies and Cream seeds by Exotic Genetix offer delicious flavors and potent effects. This hybrid strain has won awards and has high THC levels.,6.17,,,1 Single Feminised Seed (GBP 6.17) | 5 Feminised Seeds (GBP 29.20) | 25 Feminised Seeds (GBP 128.40) | 125 Feminised Seeds (GBP 609.90) | 250 Feminised Seeds (GBP 155.61),https://www.seed-city.com/seed-stockers/cookies-and-cream,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FCookies_and_Crea_5dd42f210b1e9_120x140.png&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,,,,"Indoor, Outdoor",Normal,"Happy, Relaxing",Sweet,Happy Chill,,,Very High,,,,,,,Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Amnesia Flash,Anesia Seeds,"Highly potent strain with floral aroma and spicy flavor. Mold-resistant, suitable for all growers. Ideal for pain relief and sleep disorders.",47.8,,,5 Feminised Seeds (GBP 47.80),https://www.seed-city.com/anesia-seeds/amnesia-flash,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FAmnesia_Flash_5de56923541d1_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Super Strength,"General Pain, Insomnia","Floral, Spicy",,,,27%,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),Middle of October,65 days,,,In Stock,,
Gelato Dream,Anesia Seeds,"Anesia offers high quality Gelato Dream seeds with high THC, medical benefits, fruity aroma, and mood-enhancing effects.",31.8,,,3 Feminised Seeds (GBP 31.80) | 5 Feminised Seeds (GBP 49.60) | 10 Feminised Seeds (GBP 93.40) | 50 Feminised Seeds (GBP 443.65) | 100 Feminised Seeds (GBP 840.60),https://www.seed-city.com/anesia-seeds/gelato-dream,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FGelato_Dream_5deea0b55c2f4_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Sativa Dominant,,,"Indoor, Outdoor",Super Strength,"Depression, General Pain, Motivational",Sweet,,,,33%,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),The End of September,56 to 63 days,,,In Stock,,
Auto Fro-yo,G13 Labs Seeds,"Potent strain with dense purple buds, high resin production, sweet, fruity, woody taste. Strong, uplifting high, yields up to 500g/m2 indoors.",33.98,,,5 Feminised Seeds (GBP 33.98) | 25 Feminised Seeds (GBP 161.41) | 50 Feminised Seeds (GBP 305.82),https://www.seed-city.com/g13-labs-seeds/auto-fro-yo,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FAuto_Fro_yo_5e397c9c278da_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,50% Indica/50% Sativa,Sativa – Indica / Feminised autoflowering,,"Indoor, Outdoor",Normal,"Body Stone, Cerebral, Creative, Relaxing, Uplifting","Berry, Earthy, Fruity, Nutty, Sweet, Woodsy",Strong / Physical / Cerebral,,,,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,,Most Popular Cannabis Seeds
Kera California - Tangerine Kush,Kera Seeds,"Potent, fast-flowering strain with sweet citrus aroma and relaxing effects. Ideal for nighttime use, inspires contemplative thoughts.",17.4,,,3 Feminised Seeds (GBP 17.40) | 5 Feminised Seeds (GBP 30.00) | 10 Feminised Seeds (GBP 58.40) | 50 Feminised Seeds (GBP 277.40) | 100 Feminised Seeds (GBP 525.60),https://www.seed-city.com/kera-seeds/kera-california-tangerine-kush,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FKera_California__5e7d16eb27bea_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,,,,"Indoor, Outdoor",Super Strength,,,,,,,,,,,,,Medium (56 to 90 days),,,,,In Stock,,
Gorilla Zkittlez Auto,Barneys Farm Seeds,"Fruity, euphoric effects from Gorilla x Zkittlez cross with added strength and resistance. 20% THC, 75% Indica, 25% Sativa.",21.4,,,3 Feminised Seeds (GBP 21.40) | 5 Feminised Seeds (GBP 30.40) | 10 Feminised Seeds (GBP 52.80) | 50 Feminised Seeds (GBP 250.80) | 100 Feminised Seeds (GBP 475.20),https://www.seed-city.com/barneys-farm-seeds/gorilla-zkittlez-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FGorilla_Zkittlez_5ecd442755b37_120x140.jpg&newxsize=120&newysize=140&fileout=,"Gorilla Zkittlez Auto, a feminized strain from the Cali Collection, offers a potent mix of Gorilla and Zkittlez genetics, enhanced by BF Super Auto #1 for increased strength, resistance, and vigor. This autoflowering cultivar turns into a pine-flavored, kushy, Christmas tree-shaped plant in about 75 days, reaching a final indoor height of 80-100cm and yielding an average of 420g/m². With 20% THC, its effects are intensely euphoric, making it a standout choice for those seeking the premier US genetics in autoflower form. It's predominantly Indica (75% Indica, 25% Sativa) and requires cool, dark, and airtight storage conditions, preferably in a refrigerator.",,,Feminized,Autoflowering,Indica Dominant,Feminised,,"Indoor, Outdoor",Super Strength,"Euphoric, Uplifting","Berry, Fruity, Piney",Uplifting Euphoria,,,,,,,,,,Medium (56 to 90 days),,,,,In Stock,,
CBD #1,Ace Seed bank,"Stabilized hybrid strain with high CBD, low THC. Rich terpene profile, mild effect. Easy to grow, resistant to pests. Dense buds, ideal for hashish.",32.5,,,3 Feminised Seeds (GBP 32.50) | 5 Feminised Seeds (GBP 52.80) | 25 Feminised Seeds (GBP 250.80) | 50 Feminised Seeds (GBP 475.20),https://www.seed-city.com/ace-seed-bank/cbd-1,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FCBD__1_5ef0d2adaea48_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Sativa Dominant,,,"Indoor, Outdoor",Mild,"Anxiety, Focused, General Pain, Relaxing, Stress Relief","Earthy, Floral, Fruity, Hashy, Musky, Orange, Piney, Sweet",,,,0.55-0.7 %,15-18 %,,,,,,Short (up to 55 days),The End of September,,,,In Stock,,
Orange Sherbet,FastBuds,"Resinous buds with tangerine and orange aroma. Sativa dominant, uplifting effect. Tall plant, large yields, best for warm climates. Great for hash making.",32.2,,,3 Feminised Seeds (GBP 32.20) | 5 Feminised Seeds (GBP 49.20) | 10 Feminised Seeds (GBP 88.40) | 50 Feminised Seeds (GBP 419.90) | 100 Feminised Seeds (GBP 795.60),https://www.seed-city.com/fastbuds/orange-sherbet,https://www.seed-city.com/components/com_virtuemart/themes/yagendoo_VaMazing/images/pic-coming.jpg,"Orange Sherbet Auto is characterized by its white, trichome-encrusted buds and large calyx, presenting an appealing stacked appearance. It exudes a distinct aroma of tangerine and orange with a sour sherbet undertone and offers a sticky, resinous texture when handled. This Sativa-dominant strain provides an uplifting and creative high, ideal for social gatherings, outdoor activities, or productive tasks. It has the potential to reach heights of 110-150cm, producing substantial yields (500-600gr/m2) of resin-rich flowers, particularly in warm climates. The strain's growth can be optimized through methods like L.S.T (Low Stress Training) and adding support structures to manage its size and enhance its yield. With flavors reminiscent of orange juice and sour tangerine sherbet, it leaves a lasting taste that complements its cerebral effects.",,,Feminized,Autoflowering,Sativa Dominant,,,"Indoor, Outdoor",Super Strength,"Creative, Motivational, Social, Uplifting","Fruity, Orange, Sweet",,,,up to 24%,Very low,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,,
Strawberry Pie Auto,FastBuds,"Compact, bushy plant with trichome-covered buds. Well-rounded Indica effects, easy to grow. Sweet, fruity, complex flavor profile.",32.2,,,3 Feminised Seeds (GBP 32.20) | 5 Feminised Seeds (GBP 49.20) | 10 Feminised Seeds (GBP 88.40) | 50 Feminised Seeds (GBP 419.90) | 100 Feminised Seeds (GBP 795.60),https://www.seed-city.com/fastbuds/strawberry-pie-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FStrawberry_Pie_A_5f11d918f369b_120x140.jpg&newxsize=120&newysize=140&fileout=,"Strawberry Pie Auto boasts visually stunning green and pinkish buds with a covering of trichomes and accented by light orange hairs. Its leaves exhibit shades of purple, red, and yellow, defining its unique attractiveness. This cultivar provides a balanced Indica effect that relaxes the body without excessive sedation, ideal for peaceful solitary activities.",,,Feminized,Autoflowering,Indica Dominant,,,"Indoor, Outdoor",Super Strength,"Body Stone, Relaxing","Cinnamon, Fuel, Piney, Skunky, Strawberry, Sweet",,,,Up to 26%,Very Low,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,,,,In Stock,,
Blueberry Muffin,Humboldt Seed Company,"Uniformly growing plants with frosty colas, purple flakes, and a strong blueberry scent. Indica dominant strain placing 6th at Emerald Cup 2017.",26.6,,,3 Feminised Seeds (GBP 26.60) | 5 Feminised Seeds (GBP 40.20) | 10 Feminised Seeds (GBP 72.40) | 50 Feminised Seeds (GBP 343.90) | 100 Feminised Seeds (GBP 651.60),https://www.seed-city.com/humboldt-seed-company/blueberry-muffin,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FBlueberry_Muffin_5f206e9aac843_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Normal,,"Berry, Cake, Sweet",,,,,,,,,,,Short (up to 55 days),"Middle of September, The End of September, Beginning of October","45 Days, Sept. 15 - Oct. 1",,,In Stock,,Most Popular Cannabis Seeds
Auto Sunset Vibes,G13 Labs Seeds,"American strain with 18-22% THC, berry aroma, earthy/Kush notes. Energizing then relaxing effects.",33.98,,,5 Feminised Seeds (GBP 33.98) | 25 Feminised Seeds (GBP 161.41) | 50 Feminised Seeds (GBP 305.82),https://www.seed-city.com/g13-labs-seeds/auto-sunset-vibes,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FAuto_Sunset_Vibe_5f74b471e0b61_120x140.jpg&newxsize=120&newysize=140&fileout=,,,,Feminized,Autoflowering,Indica Dominant,,,"Indoor, Outdoor",Normal,"Body Stone, Cerebral, Creative, Relaxing","Berry, Coffee, Earthy, Herbal, Nutty",,,,,,,,,,,Medium (56 to 90 days),,,,,In Stock,,
Hindu Kush,Nirvana Seeds,"Potent indica strain with bold flavors, easy to grow in 9 weeks. Ideal for small spaces and medical use.",17.8,,,3 Feminised Seeds (GBP 17.80) | 5 Feminised Seeds (GBP 26.80) | 10 Feminised Seeds (GBP 44.60) | 50 Feminised Seeds (GBP 211.85) | 100 Feminised Seeds (GBP 401.40),https://www.seed-city.com/nirvana-seeds/hindu-kush,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FHindu_Kush_5fbd5c326f6ea_120x140.jpg&newxsize=120&newysize=140&fileout=,"Hindu Kush Feminized is a full-blooded indica with high potency, boasting THC levels up to 20%. It's easy to grow, suited for beginners, and flowers in just 9 weeks. Originating from the Hindu Kush mountains, this strain is sturdy and reliable, thriving in all climates. Its compact size and high yield make it ideal for Sea of Green setups, producing 400-450 g/m² of dense buds.",,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor",Normal,"Anxiety, Euphoric, General Pain, Inflammation, Insomnia, Relaxing, Spasm Relief, Stress Relief","Citrus, Earthy, Hashy, Musky, Piney, Spicy","Relaxed, Sleepy, Euphoric",,"Citrus, Spicey, Pine",,,,,,,,Medium (56 to 90 days),,,,,In Stock,,
Sensi Amnesia Automatic,Sensi Seeds,"Award-winning genetics, moderately tall plants, sativa aroma and taste, uplifting high, grows well in cooler climates, easy to cultivate.",19.8,,,3 Feminised Seeds (GBP 19.80) | 5 Feminised Seeds (GBP 31.60) | 10 Feminised Seeds (GBP 59.80) | 50 Feminised Seeds (GBP 284.05) | 100 Feminised Seeds (GBP 538.20),https://www.seed-city.com/sensi-seeds/sensi-amnesia-automatic,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FSensi_Amnesia_Au_628636c16c56b_120x140.png&newxsize=120&newysize=140&fileout=,"Sensi Amnesia Automatic blends 50% sativa, 20% indica, and 30% ruderalis genetics. It inherits traits from Jamaican Pearl, Hawaiian Indica, and Afghani #1, offering an earthy, fruity aroma and compact buds. This automatic feminized strain thrives well in various climates, reportedly requiring minimal effort even from novice growers. Its moderate height and autoflowering capabilities make it adaptable for indoor and outdoor cultivation, reaching up to 210 cm outdoors. The high is predominantly sativa – cerebral and uplifting, making it ideal for social interactions.",,,Feminized,Autoflowering,Sativa Dominant,,,"Indoor, Outdoor",Normal,"Cerebral, Euphoric, Social, Uplifting","Earthy, Fruity",,,,,,,,,,Medium (81cm - 140cm),Medium (56 to 90 days),,Average flowering period,,,In Stock,,
Auto Skywalker Haze,Dutch Passion Seeds,"High-yielding sativa-dominant strain with very high THC levels. Flowering time of 12 weeks, potential for XXL harvests. Strong lemony scent, frosty buds.",16.96,21.2,20.0,3 Feminised Seeds (GBP 16.96) | 7 Feminised Seeds (GBP 33.92) | 35 Feminised Seeds (GBP 161.12) | 70 Feminised Seeds (GBP 305.28),https://www.seed-city.com/dutch-passion-seeds/auto-skywalker-haze,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FAuto_Skywalker_H_608c4bcb8db3e_120x140.png&newxsize=120&newysize=140&fileout=,"Our team has developed an exceptionally strong, sativa-dominant autoflowering strain by crossing Skywalker Haze with Auto Amsterdam Amnesia, known to be one of the most potent Haze variants in the market. It boasts XXL yield potential with dense, frosty buds that radiate a strong lemony and sweet aroma. Despite its tendency to slightly foxtail, it remains aesthetically pleasing.
This autoflowering plant is notable for its remarkable height outdoors, reaching over two meters, which is unusual for autoflowers. It typically requires 12 weeks from seed to harvest, with some phenotypes extending to 13-14 weeks. Our cross highlights the incredible potential of combining new-school and old-school genetics.",,,Feminized,Autoflowering,Sativa Dominant,,,"Indoor, Outdoor",Normal,,"Citrus, Lemon, Sweet",,,,Very High,,,,,,,Medium (56 to 90 days),,,,,In Stock,Cannabis Seeds Currently on Sale,
CBD Northern Lights,Seed Stockers,"High CBD, low THC indica strain with resinous buds. Ideal for relaxation, pain relief, and a unique candy flavor.",6.69,,,1 Single Feminised Seed (GBP 6.69) | 3 Feminised Seeds (GBP 23.20) | 5 Feminised Seeds (GBP 34.80) | 25 Feminised Seeds (GBP 139.20) | 125 Feminised Seeds (GBP 661.20) | 250 Feminised Seeds (GBP 252.80),https://www.seed-city.com/seed-stockers/cbd-northern-lights,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FCBD_Northern_Lig_60bf77e595253_120x140.png&newxsize=120&newysize=140&fileout=,"Experience the tranquility and beauty similar to that of the actual northern lights with Seedstockers' feminised marijuana strain, CBD Northern Lights. This cannabis creation combines low THC content with high cannabidiol levels, offering peace, calmness, and a unique way to improve everyday life for both medical and recreational users.",,,Feminized,12/12 Photoperiod,Indica Dominant,,,"Indoor, Outdoor, Greenhouse",Normal,Relaxing,"Earthy, Gassy, Sweet",Relaxing,,,Extremely low,High,,,,,,Medium (56 to 90 days),"The End of September, Beginning of October",,,,In Stock,,
Red Gorilla Girl XL Auto,Sweet Seeds,"Tall, potent strain with high THC levels. Sweet, spicy aroma, dense buds ready in 9 weeks. 85% have purple flowers.",26.0,,,3 Feminised Seeds (GBP 26.00) | 5 Feminised Seeds (GBP 43.00) | 25 Feminised Seeds (GBP 204.25) | 50 Feminised Seeds (GBP 387.00),https://www.seed-city.com/sweet-seeds/red-gorilla-girl-xl-auto,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FRed_Gorilla_Girl_60bf7b978126b_120x140.jpg&newxsize=120&newysize=140&fileout=,"Introducing the Red Gorilla Girl XL Auto® (SWS89), a red-flowered, extra tall autoflowering strain with roots tracing back to the beloved Gorilla Girl® and Sweet Gelato Auto®. This strain is a crossbreed with Bloody Skunk Auto®, known for its purple flowers. Offering very high THC levels up to 21%, it delivers a potent and stimulating effect. With an aromatic profile that combines sweet, spicy, lemon, and fresh cypress notes, this strain aims to please the senses.
Red Gorilla Girl XL Auto® stands out for its dense, resinous buds, ready for harvest 9 weeks after the first leaf shows. Most plants exhibit beautiful purple flowers, characteristic of its lineage.",,,Feminized,Autoflowering,"Indica Dominant , 50% Indica/50% Sativa",,,"Indoor, Outdoor",Normal,,"Lemon, Spicy, Sweet",,,,"15-21% · CBD : 0,5%",,,,,,"Short (up to 80cm), Medium (81cm - 140cm)",Medium (56 to 90 days),,,,,In Stock,,
Leviathan CBG,Emerald Triangle Seeds,"High yielding CBG strain with cannabis-like appearance, mold resistance, and early October harvest. Suitable for indoor and outdoor cultivation.",18.9,,,3 Feminised Seeds (GBP 18.90) | 5 Feminised Seeds (GBP 29.40),https://www.seed-city.com/emerald-triangle-seeds/leviathan-cbg,https://www.seed-city.com/components/com_virtuemart/show_image_in_imgtag.php?filename=resized%2FLeviathan_CBG_612fa97a9e3bd_120x140.png&newxsize=120&newysize=140&fileout=,"A unique CBG strain that resembles traditional cannabis rather than typical CBG hemp plants. Unlike the usual foxtail appearance of CBG varieties, this strain boasts a high yield with a substantial central cola and good-sized lateral branches. It exhibits excellent resistance to mold and fungus, making it suitable for both indoor and outdoor farming, and can be harvested outdoors by early October.",,,Feminized,12/12 Photoperiod,,,,"Indoor, Outdoor",Mild,,,,,,,,,,,,,Medium (56 to 90 days),Beginning of October,,,,In Stock,,
